Molecule ChEMBL ID,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Smiles
CHEMBL5590689,586.56,5.08,2.0,IC50,'=',0.3,nM,9.52,Cc1cc(Nc2ncc(Br)c(Nc3ccccc3NS(=O)(=O)C3CC3)n2)ccc1N1CCCN(C)CC1
CHEMBL3622671,497.6,4.5,0.0,IC50,'=',5.3,nM,8.28,C#Cc1cccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1
CHEMBL3622645,457.53,3.58,0.0,IC50,'=',1.2,nM,8.92,C#Cc1cccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)/C=C/CN(C)C)cc23)c1
CHEMBL4639739,502.58,5.37,2.0,IC50,'=',4500.0,nM,5.35,C=CC(=O)NCCOc1cc(Cc2ccccc2)cc2[nH]c(-c3n[nH]c4cc(-c5cn[nH]c5)ccc34)cc12
CHEMBL3623279,388.83,4.01,0.0,IC50,'=',1.5,nM,8.82,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CCOCC1
CHEMBL5956631,456.55,4.44,0.0,IC50,'=',5500.0,nM,5.26,COc1c(C)cccc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1
CHEMBL5939106,472.55,3.49,0.0,IC50,'=',550.0,nM,6.26,COc1ccccc1C(=O)NCc1ccc(-c2nn([C@H]3CC[C@@H](O)CC3)c3ncnc(N)c23)cc1
CHEMBL4778159,304.31,3.02,0.0,IC50,'=',24.0,nM,7.62,N#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1
CHEMBL3699608,597.64,5.81,2.0,IC50,'=',65.0,nM,7.19,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)C(C)(C)C)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL4797515,264.38,3.45,0.0,IC50,'=',143.63,nM,6.84,CNc1nc(C)c(C(=O)/C=C/c2ccsc2)s1
